               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.013981,           0.0087502,                   0,             0.96366,                   1,             0.98534,              0.7488,            0.018156,           0.0075579,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.014532,           0.0092661,                   0,             0.96369,                   1,             0.98052,             0.72355,            0.018163,           0.0080685,                   0,            0.005446,            0.005446,            0.005446
                 140,             0.01409,           0.0092052,                   0,             0.96356,                   1,             0.97914,             0.72672,            0.018146,           0.0082752,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.014168,           0.0091894,                   0,             0.96379,                   1,             0.98052,             0.73032,            0.018329,            0.008328,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.014322,            0.008677,                   0,             0.96333,                   1,             0.98638,             0.73401,            0.017576,           0.0080685,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.013913,           0.0094389,                   0,              0.9638,                   1,             0.98534,             0.72297,             0.01721,           0.0076155,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.013716,            0.008244,                   0,              0.9624,                   1,             0.98397,              0.7277,            0.017294,           0.0075489,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.014616,           0.0091636,                   0,             0.96329,                   1,             0.98638,             0.72247,            0.018144,           0.0079156,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.013639,           0.0089056,                   0,             0.96381,                   1,             0.98638,             0.73761,            0.018119,           0.0081274,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.013835,           0.0092104,                   0,             0.96348,                   1,             0.99017,             0.73024,            0.018326,           0.0084148,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.014006,           0.0089362,                   0,             0.96309,                   1,             0.98914,             0.74054,            0.017822,           0.0083162,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.014414,           0.0092752,                   0,             0.96321,                   1,             0.98534,             0.74046,            0.017847,           0.0083392,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.014369,           0.0097351,                   0,             0.96275,                   1,             0.98638,             0.72191,            0.017875,           0.0084814,                   0,            0.005083,            0.005083,            0.005083
                 151,             0.01377,             0.00932,                   0,             0.95877,                   1,             0.98776,             0.71985,            0.018359,           0.0086869,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.014426,           0.0096108,                   0,             0.96357,                   1,             0.98155,             0.74521,            0.017632,           0.0086875,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.014838,            0.009269,                   0,              0.9636,                   1,             0.98534,             0.72644,            0.017323,           0.0087623,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.013545,           0.0091113,                   0,             0.96363,                   1,             0.97293,             0.72754,            0.017551,           0.0086911,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.013351,           0.0087304,                   0,             0.96355,                   1,             0.97431,             0.73748,            0.017671,           0.0085404,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.014352,           0.0093449,                   0,             0.96339,                   1,             0.98534,             0.74926,            0.017682,           0.0080634,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.014013,            0.008731,                   0,             0.96341,                   1,             0.99017,             0.75554,            0.017329,           0.0078534,                   0,            0.004852,            0.004852,            0.004852
